wavelength,value
901.0198689728451,21321
904.9634728266626,23463
908.9028621577714,25406
912.8380369661718,27527
916.7689972518638,29832
922.003721708573,34082
925.9248481079452,37963
929.8417599846088,42509
933.7544573385638,47426
937.6629401698106,52311
941.5672084783487,56382
945.4672622641783,59538
949.3631015272995,62225
953.254726267712,64176
957.1421364854161,66053
961.0253321804119,67638
964.904313352699,69728
968.7790800022777,71998
972.6496321291479,74257
976.5159697333096,76188
980.3780928147628,78519
984.2360013735074,80602
988.0896954095435,82655
993.2213982000453,85194
997.0652583497616,86863
1000.9049039767697,88475
1004.740335081069,89874
1008.5715516626599,91114
1012.3985537215423,92492
1016.2213412577162,93716
1020.0399142711816,94831
1023.8542727619385,95973
1027.664416729987,97301
1031.470346175327,98344
1035.2720610979584,99252
1039.0695614978813,99779
1042.8628473750957,100220
1046.6519187296017,100477
1050.4367755613991,100978
1054.2174178704881,101138
1057.9938456568686,101354
1063.022526781163,101483
1066.7891206812235,101645
1070.5515000585756,101706
1074.3096649132192,101808
1078.0636152451543,101932
1081.8133510543812,102120
1085.5588723408991,102461
1089.300179104709,102817
1093.0372713458103,103160
1096.770149064203,103312
1100.498812259887,103720
1104.223260932863,103935
1107.94349508313,104204
1111.6595147106887,104507
1115.371319815539,104753
1119.0789103976808,104782
1122.7822864571142,104824
1126.4814479938389,103784
1131.4071074519252,101667
1135.0964351023304,99145
1138.7815482300266,95640
1142.4624468350146,91890
1146.139130917294,88637
1149.8116004768651,86089
1153.4798555137277,83927
1157.1438960278815,82697
1160.803722019327,82273
1164.4593334880642,81906
1168.1107304340926,81946
1171.7579128574125,82127
1175.400880758024,82495
1179.039634135927,82903
1182.6741729911216,83361
1186.3044973236076,83843
1189.9306071333854,84818
1193.5525024204544,86137
1198.375140212333,87851
1201.9872016130823,89400
1205.595048491123,91239
1209.1986808464553,92787
1212.798098679079,94583
1216.3933019889944,96753
1219.984290776201,98919
1223.5710650406993,101099
1227.153624782489,103339
1230.7319700015703,105702
1234.306100697943,107623
1237.8760168716074,109553
1241.4417185225632,111541
1245.0032056508105,113550
1248.5604782563494,115183
1252.1135363391795,116646
1255.6623798993014,117929
1260.387615388584,119126
1263.926625062386,120220
1267.4614202134794,120717
1270.9920008418644,121172
1274.518366947541,121348
1278.040518530509,121397
1281.5584555907685,121244
1285.0721781283196,120776
1288.5816861431622,120490
1292.0869796352963,119540
1295.588058604722,118410
1299.0849230514389,117078
1302.5775729754473,115406
1306.0660083767475,113463
1309.5502292553392,110854
1313.0302356112222,108538
1316.5060274443968,105688
1319.977604754863,102461
1324.5998185779379,98172
1328.0615620020842,94477
1331.5190909035218,91026
1334.9724052822512,87567
1338.421505138272,83986
1341.8663904715843,80664
1345.307061282188,77582
1348.7435175700834,74688
1352.1757593352704,71800
1355.6037865777487,69025
1359.0275992975185,66393
1362.4471974945798,63768
1365.8625811689326,60713
1369.2737503205772,57284
1372.6807049495128,53444
1376.0834450557404,49390
1379.481970639259,44570
1382.8762817000695,39777
1387.3954738569369,33233
1390.7799510314273,28816
1394.1602136832093,25032
1397.536261812283,21892
1400.9080954186481,19748
1404.2757145023047,17961
1407.6391190632528,16678
1410.9983091014924,15596
1414.3532846170235,15103
1417.7040456098462,14621
1421.0505920799603,14181
1424.392924027366,13888
1427.731041452063,13590
1431.0649443540517,13304
1434.394632733332,13412
1437.7201065899035,13182
1441.0413659237665,13152
1444.3584107349213,12910
1448.774581225581,12849
1452.0817921504158,12795
1455.3847885525422,12490
1458.68357043196,12403
1461.9781377886695,12580
1465.2684906226702,12592
1468.5546289339627,12718
1471.8365527225467,12501
1475.114261988422,12667
1478.387756731589,12478
1481.6570369520473,12501
1484.9221026497971,12710
1488.1829538248387,12527
1491.4395904771716,12670
1494.692012606796,12781
1497.9402202137119,12925
1501.1842132979193,12916
1504.4239918594183,13084
1508.7371406838704,13018
1511.9670853590496,13436
1515.1928155115202,13620
1518.4143311412822,13610
1521.6316322483358,13774
1524.844718832681,13977
1528.0535908943177,14181
1531.2582484332459,14144
1534.4586914494655,14342
1537.654919942977,14435
1540.8469339137796,14624
1544.0347333618736,14894
1547.2183182872593,14936
1550.3976886899366,14946
1553.5728445699053,15052
1556.7437859271654,15148
1559.9105127617172,15301
1563.0730250735605,15167
1567.283152231805,15186
1570.4358306573283,15251
1573.5842945601432,15351
1576.7285439402497,15414
1579.8685787976476,15450
1583.004399132337,15298
1586.1360049443178,15084
1589.2633962335904,15271
1592.3865730001544,15203
1595.50553524401,15224
1598.6202829651568,15038
1601.7308161635954,14963
1604.8371348393252,15045
1607.9392389923466,14837
1611.0371286226598,14455
1614.1308037302642,14452
1617.2202643151602,14276
1621.3329891708083,13939
1624.4126158693846,13945
1627.4880280452523,13775
1630.5592256984114,13272
1633.6262088288622,13262
1636.6889774366043,12964
1639.7475315216382,12719
1642.8018710839633,12289
1645.8519961235802,12199
1648.8979066404884,11833
1651.939602634688,11398
1654.9770841061793,11123
1658.010351054962,10619
1661.0394034810363,10152
1664.064241384402,9492
1667.0848647650594,9102
1670.1012736230082,8179
1673.1134679582485,7500
1677.123171147689,6085
1680.1255315966096,5410
1683.1236775228215,4388
1686.117608926325,3611
1689.1073258071199,3141
1692.0928281652064,2776
1695.0741160005844,2169
1698.0511893132539,1987
1701.024048103215,1576
