wavelength,value
901.0198689728451,22352
904.9634728266626,24468
908.9028621577714,26537
912.8380369661718,28855
916.7689972518638,31391
922.003721708573,35828
925.9248481079452,40000
929.8417599846088,44699
933.7544573385638,49976
937.6629401698106,55165
941.5672084783487,59357
945.4672622641783,62912
949.3631015272995,65716
953.254726267712,67908
957.1421364854161,70001
961.0253321804119,71840
964.904313352699,74178
968.7790800022777,76447
972.6496321291479,78726
976.5159697333096,80889
980.3780928147628,83265
984.2360013735074,85284
988.0896954095435,87276
993.2213982000453,89976
997.0652583497616,91819
1000.9049039767697,93402
1004.740335081069,94681
1008.5715516626599,95757
1012.3985537215423,97122
1016.2213412577162,98338
1020.0399142711816,99452
1023.8542727619385,100473
1027.664416729987,101575
1031.470346175327,102639
1035.2720610979584,103456
1039.0695614978813,104122
1042.8628473750957,104434
1046.6519187296017,104755
1050.4367755613991,105146
1054.2174178704881,105119
1057.9938456568686,105263
1063.022526781163,105263
1066.7891206812235,105247
1070.5515000585756,105383
1074.3096649132192,105432
1078.0636152451543,105587
1081.8133510543812,105714
1085.5588723408991,105976
1089.300179104709,106450
1093.0372713458103,106780
1096.770149064203,107155
1100.498812259887,107511
1104.223260932863,107835
1107.94349508313,108465
1111.6595147106887,108636
1115.371319815539,108907
1119.0789103976808,109140
1122.7822864571142,109101
1126.4814479938389,108606
1131.4071074519252,106463
1135.0964351023304,104445
1138.7815482300266,101430
1142.4624468350146,98142
1146.139130917294,95199
1149.8116004768651,92844
1153.4798555137277,91044
1157.1438960278815,89914
1160.803722019327,89508
1164.4593334880642,89234
1168.1107304340926,89279
1171.7579128574125,89565
1175.400880758024,89899
1179.039634135927,90252
1182.6741729911216,90785
1186.3044973236076,91600
1189.9306071333854,92628
1193.5525024204544,94183
1198.375140212333,95954
1201.9872016130823,97541
1205.595048491123,99343
1209.1986808464553,101033
1212.798098679079,102993
1216.3933019889944,105108
1219.984290776201,107375
1223.5710650406993,109384
1227.153624782489,111465
1230.7319700015703,113810
1234.306100697943,115555
1237.8760168716074,117482
1241.4417185225632,119509
1245.0032056508105,121505
1248.5604782563494,123090
1252.1135363391795,124824
1255.6623798993014,125943
1260.387615388584,127293
1263.926625062386,128479
1267.4614202134794,128855
1270.9920008418644,129537
1274.518366947541,129784
1278.040518530509,129593
1281.5584555907685,129573
1285.0721781283196,129205
1288.5816861431622,129021
1292.0869796352963,128438
1295.588058604722,127322
1299.0849230514389,125959
1302.5775729754473,124565
1306.0660083767475,122643
1309.5502292553392,120486
1313.0302356112222,118145
1316.5060274443968,115629
1319.977604754863,112510
1324.5998185779379,108182
1328.0615620020842,104885
1331.5190909035218,101352
1334.9724052822512,98163
1338.421505138272,94538
1341.8663904715843,91318
1345.307061282188,88135
1348.7435175700834,85383
1352.1757593352704,82462
1355.6037865777487,79616
1359.0275992975185,77019
1362.4471974945798,74427
1365.8625811689326,71346
1369.2737503205772,67867
1372.6807049495128,64053
1376.0834450557404,59410
1379.481970639259,54644
1382.8762817000695,49308
1387.3954738569369,42232
1390.7799510314273,37401
1394.1602136832093,33252
1397.536261812283,29813
1400.9080954186481,27230
1404.2757145023047,25119
1407.6391190632528,23728
1410.9983091014924,22429
1414.3532846170235,21759
1417.7040456098462,21202
1421.0505920799603,20474
1424.392924027366,20316
1427.731041452063,19837
1431.0649443540517,19587
1434.394632733332,19486
1437.7201065899035,19430
1441.0413659237665,19306
1444.3584107349213,19096
1448.774581225581,18996
1452.0817921504158,19024
1455.3847885525422,18587
1458.68357043196,18483
1461.9781377886695,18425
1465.2684906226702,18557
1468.5546289339627,18555
1471.8365527225467,18366
1475.114261988422,18499
1478.387756731589,18488
1481.6570369520473,18450
1484.9221026497971,18580
1488.1829538248387,18502
1491.4395904771716,18375
1494.692012606796,18381
1497.9402202137119,18592
1501.1842132979193,18736
1504.4239918594183,18863
1508.7371406838704,18933
1511.9670853590496,19118
1515.1928155115202,19118
1518.4143311412822,19224
1521.6316322483358,19421
1524.844718832681,19497
1528.0535908943177,19721
1531.2582484332459,19709
1534.4586914494655,19787
1537.654919942977,19706
1540.8469339137796,19907
1544.0347333618736,20037
1547.2183182872593,20189
1550.3976886899366,20323
1553.5728445699053,20104
1556.7437859271654,20125
1559.9105127617172,20245
1563.0730250735605,20017
1567.283152231805,20161
1570.4358306573283,20103
1573.5842945601432,20112
1576.7285439402497,19986
1579.8685787976476,20178
1583.004399132337,19611
1586.1360049443178,19561
1589.2633962335904,19434
1592.3865730001544,19560
1595.50553524401,19251
1598.6202829651568,19230
1601.7308161635954,18967
1604.8371348393252,18939
1607.9392389923466,18768
1611.0371286226598,18121
1614.1308037302642,18276
1617.2202643151602,17811
1621.3329891708083,17533
1624.4126158693846,17161
1627.4880280452523,17009
1630.5592256984114,16597
1633.6262088288622,16400
1636.6889774366043,16048
1639.7475315216382,15746
1642.8018710839633,15139
1645.8519961235802,14978
1648.8979066404884,14583
1651.939602634688,14063
1654.9770841061793,13857
1658.010351054962,13005
1661.0394034810363,12433
1664.064241384402,11594
1667.0848647650594,11072
1670.1012736230082,10319
1673.1134679582485,9208
1677.123171147689,7704
1680.1255315966096,6573
1683.1236775228215,5597
1686.117608926325,4796
1689.1073258071199,3958
1692.0928281652064,3289
1695.0741160005844,2743
1698.0511893132539,2357
1701.024048103215,2050
