wavelength,value
901.0198689728451,23370
904.9634728266626,25343
908.9028621577714,27452
912.8380369661718,29803
916.7689972518638,32431
922.003721708573,36928
925.9248481079452,41328
929.8417599846088,46227
933.7544573385638,51573
937.6629401698106,56767
941.5672084783487,61376
945.4672622641783,64854
949.3631015272995,67785
953.254726267712,70136
957.1421364854161,72191
961.0253321804119,74113
964.904313352699,76474
968.7790800022777,78887
972.6496321291479,81464
976.5159697333096,83746
980.3780928147628,86064
984.2360013735074,88305
988.0896954095435,90550
993.2213982000453,93236
997.0652583497616,94996
1000.9049039767697,96600
1004.740335081069,98213
1008.5715516626599,99381
1012.3985537215423,100824
1016.2213412577162,101907
1020.0399142711816,103312
1023.8542727619385,104393
1027.664416729987,105730
1031.470346175327,106782
1035.2720610979584,107708
1039.0695614978813,108388
1042.8628473750957,108778
1046.6519187296017,109042
1050.4367755613991,109466
1054.2174178704881,109615
1057.9938456568686,109811
1063.022526781163,109938
1066.7891206812235,110061
1070.5515000585756,110360
1074.3096649132192,110190
1078.0636152451543,110465
1081.8133510543812,110826
1085.5588723408991,111153
1089.300179104709,111702
1093.0372713458103,111952
1096.770149064203,112398
1100.498812259887,112933
1104.223260932863,113210
1107.94349508313,113693
1111.6595147106887,114147
1115.371319815539,114535
1119.0789103976808,114759
1122.7822864571142,114845
1126.4814479938389,114222
1131.4071074519252,112192
1135.0964351023304,110036
1138.7815482300266,106892
1142.4624468350146,103461
1146.139130917294,100210
1149.8116004768651,97967
1153.4798555137277,95905
1157.1438960278815,94924
1160.803722019327,94333
1164.4593334880642,94308
1168.1107304340926,94488
1171.7579128574125,94787
1175.400880758024,95208
1179.039634135927,95680
1182.6741729911216,96381
1186.3044973236076,97059
1189.9306071333854,98148
1193.5525024204544,99663
1198.375140212333,101564
1201.9872016130823,103265
1205.595048491123,105245
1209.1986808464553,107073
1212.798098679079,109095
1216.3933019889944,111314
1219.984290776201,113754
1223.5710650406993,116082
1227.153624782489,118427
1230.7319700015703,120803
1234.306100697943,122944
1237.8760168716074,124976
1241.4417185225632,127315
1245.0032056508105,129357
1248.5604782563494,131348
1252.1135363391795,132971
1255.6623798993014,134225
1260.387615388584,135595
1263.926625062386,136942
1267.4614202134794,137477
1270.9920008418644,138189
1274.518366947541,138203
1278.040518530509,138469
1281.5584555907685,138573
1285.0721781283196,138182
1288.5816861431622,137766
1292.0869796352963,137165
1295.588058604722,136135
1299.0849230514389,134809
1302.5775729754473,133247
1306.0660083767475,131431
1309.5502292553392,129181
1313.0302356112222,126774
1316.5060274443968,124041
1319.977604754863,120943
1324.5998185779379,116455
1328.0615620020842,113026
1331.5190909035218,109506
1334.9724052822512,106168
1338.421505138272,102483
1341.8663904715843,99235
1345.307061282188,95997
1348.7435175700834,93140
1352.1757593352704,90049
1355.6037865777487,87314
1359.0275992975185,84526
1362.4471974945798,81711
1365.8625811689326,78683
1369.2737503205772,75118
1372.6807049495128,71244
1376.0834450557404,66722
1379.481970639259,61878
1382.8762817000695,56746
1387.3954738569369,49674
1390.7799510314273,44898
1394.1602136832093,40897
1397.536261812283,37504
1400.9080954186481,35085
1404.2757145023047,33162
1407.6391190632528,31492
1410.9983091014924,30305
1414.3532846170235,29792
1417.7040456098462,29031
1421.0505920799603,28635
1424.392924027366,28264
1427.731041452063,27869
1431.0649443540517,27579
1434.394632733332,27610
1437.7201065899035,27408
1441.0413659237665,27398
1444.3584107349213,27079
1448.774581225581,26851
1452.0817921504158,26970
1455.3847885525422,26498
1458.68357043196,26584
1461.9781377886695,26569
1465.2684906226702,26326
1468.5546289339627,26420
1471.8365527225467,26273
1475.114261988422,26178
1478.387756731589,26051
1481.6570369520473,25978
1484.9221026497971,25940
1488.1829538248387,25962
1491.4395904771716,25792
1494.692012606796,25804
1497.9402202137119,25923
1501.1842132979193,25893
1504.4239918594183,26070
1508.7371406838704,25739
1511.9670853590496,25994
1515.1928155115202,26077
1518.4143311412822,25944
1521.6316322483358,26146
1524.844718832681,26128
1528.0535908943177,26279
1531.2582484332459,25965
1534.4586914494655,26037
1537.654919942977,26005
1540.8469339137796,25904
1544.0347333618736,26001
1547.2183182872593,25988
1550.3976886899366,25915
1553.5728445699053,25715
1556.7437859271654,25653
1559.9105127617172,25564
1563.0730250735605,25242
1567.283152231805,25210
1570.4358306573283,24936
1573.5842945601432,24943
1576.7285439402497,24798
1579.8685787976476,24658
1583.004399132337,24300
1586.1360049443178,24105
1589.2633962335904,23860
1592.3865730001544,23693
1595.50553524401,23426
1598.6202829651568,23406
1601.7308161635954,22920
1604.8371348393252,22674
1607.9392389923466,22479
1611.0371286226598,21909
1614.1308037302642,21602
1617.2202643151602,21205
1621.3329891708083,20676
1624.4126158693846,20363
1627.4880280452523,20073
1630.5592256984114,19493
1633.6262088288622,19327
1636.6889774366043,18866
1639.7475315216382,18494
1642.8018710839633,17965
1645.8519961235802,17514
1648.8979066404884,17080
1651.939602634688,16319
1654.9770841061793,15945
1658.010351054962,15180
1661.0394034810363,14501
1664.064241384402,13771
1667.0848647650594,12813
1670.1012736230082,11774
1673.1134679582485,10473
1677.123171147689,9053
1680.1255315966096,7737
1683.1236775228215,6572
1686.117608926325,5483
1689.1073258071199,4576
1692.0928281652064,3908
1695.0741160005844,3242
1698.0511893132539,2921
1701.024048103215,2395
