wavelength,intensity
901.0198689728451,23762
904.9634728266626,25932
908.9028621577714,28340
912.8380369661718,30641
916.7689972518638,33263
922.003721708573,38020
925.9248481079452,42647
929.8417599846088,47728
933.7544573385638,53464
937.6629401698106,58786
941.5672084783487,63354
945.4672622641783,66991
949.3631015272995,69834
953.254726267712,72198
957.1421364854161,74352
961.0253321804119,76179
964.904313352699,78579
968.7790800022777,80976
972.6496321291479,83657
976.5159697333096,85922
980.3780928147628,88646
984.2360013735074,90640
988.0896954095435,92896
993.2213982000453,95808
997.0652583497616,97415
1000.9049039767697,99142
1004.740335081069,100705
1008.5715516626599,101950
1012.3985537215423,103368
1016.2213412577162,104505
1020.0399142711816,105634
1023.8542727619385,106695
1027.664416729987,108216
1031.470346175327,109174
1035.2720610979584,109927
1039.0695614978813,110771
1042.8628473750957,111059
1046.6519187296017,111432
1050.4367755613991,111787
1054.2174178704881,112097
1057.9938456568686,112132
1063.022526781163,112224
1066.7891206812235,112236
1070.5515000585756,112553
1074.3096649132192,112582
1078.0636152451543,112657
1081.8133510543812,112825
1085.5588723408991,113535
1089.300179104709,113884
1093.0372713458103,114162
1096.770149064203,114548
1100.498812259887,114988
1104.223260932863,115505
1107.94349508313,115819
1111.6595147106887,116372
1115.371319815539,116811
1119.0789103976808,117027
1122.7822864571142,117268
1126.4814479938389,116759
1131.4071074519252,114577
1135.0964351023304,112253
1138.7815482300266,109051
1142.4624468350146,105921
1146.139130917294,102753
1149.8116004768651,100618
1153.4798555137277,98505
1157.1438960278815,97603
1160.803722019327,96818
1164.4593334880642,96784
1168.1107304340926,97036
1171.7579128574125,97287
1175.400880758024,97932
1179.039634135927,98422
1182.6741729911216,99039
1186.3044973236076,99879
1189.9306071333854,100868
1193.5525024204544,102492
1198.375140212333,104480
1201.9872016130823,106094
1205.595048491123,108202
1209.1986808464553,110141
1212.798098679079,112101
1216.3933019889944,114573
1219.984290776201,116837
1223.5710650406993,119262
1227.153624782489,121747
1230.7319700015703,124143
1234.306100697943,126394
1237.8760168716074,128554
1241.4417185225632,130864
1245.0032056508105,132914
1248.5604782563494,134791
1252.1135363391795,136521
1255.6623798993014,137914
1260.387615388584,139425
1263.926625062386,140390
1267.4614202134794,141229
1270.9920008418644,141850
1274.518366947541,141968
1278.040518530509,142267
1281.5584555907685,142194
1285.0721781283196,142132
1288.5816861431622,141798
1292.0869796352963,141148
1295.588058604722,140117
1299.0849230514389,138768
1302.5775729754473,137357
1306.0660083767475,135449
1309.5502292553392,133140
1313.0302356112222,130962
1316.5060274443968,128013
1319.977604754863,125020
1324.5998185779379,120879
1328.0615620020842,117157
1331.5190909035218,113775
1334.9724052822512,110389
1338.421505138272,106743
1341.8663904715843,103518
1345.307061282188,100373
1348.7435175700834,97385
1352.1757593352704,94237
1355.6037865777487,91284
1359.0275992975185,88559
1362.4471974945798,85868
1365.8625811689326,82740
1369.2737503205772,79061
1372.6807049495128,75350
1376.0834450557404,70852
1379.481970639259,65808
1382.8762817000695,60812
1387.3954738569369,53706
1390.7799510314273,48927
1394.1602136832093,44980
1397.536261812283,41467
1400.9080954186481,39054
1404.2757145023047,36986
1407.6391190632528,35603
1410.9983091014924,34092
1414.3532846170235,33645
1417.7040456098462,33041
1421.0505920799603,32541
1424.392924027366,32178
1427.731041452063,31954
1431.0649443540517,31637
1434.394632733332,31583
1437.7201065899035,31372
1441.0413659237665,31510
1444.3584107349213,31045
1448.774581225581,30902
1452.0817921504158,30944
1455.3847885525422,30460
1458.68357043196,30410
1461.9781377886695,30405
1465.2684906226702,30312
1468.5546289339627,30176
1471.8365527225467,30050
1475.114261988422,30019
1478.387756731589,29805
1481.6570369520473,29624
1484.9221026497971,29743
1488.1829538248387,29594
1491.4395904771716,29489
1494.692012606796,29433
1497.9402202137119,29488
1501.1842132979193,29508
1504.4239918594183,29482
1508.7371406838704,29240
1511.9670853590496,29367
1515.1928155115202,29519
1518.4143311412822,29410
1521.6316322483358,29385
1524.844718832681,29487
1528.0535908943177,29588
1531.2582484332459,29323
1534.4586914494655,29368
1537.654919942977,29107
1540.8469339137796,29141
1544.0347333618736,29330
1547.2183182872593,29265
1550.3976886899366,28865
1553.5728445699053,28918
1556.7437859271654,28480
1559.9105127617172,28613
1563.0730250735605,28186
1567.283152231805,28037
1570.4358306573283,27748
1573.5842945601432,27656
1576.7285439402497,27466
1579.8685787976476,27465
1583.004399132337,26697
1586.1360049443178,26564
1589.2633962335904,26438
1592.3865730001544,26150
1595.50553524401,25892
1598.6202829651568,25864
1601.7308161635954,25206
1604.8371348393252,25036
1607.9392389923466,24541
1611.0371286226598,23964
1614.1308037302642,23936
1617.2202643151602,23257
1621.3329891708083,22713
1624.4126158693846,22393
1627.4880280452523,22013
1630.5592256984114,21507
1633.6262088288622,21125
1636.6889774366043,20591
1639.7475315216382,20227
1642.8018710839633,19650
1645.8519961235802,19021
1648.8979066404884,18568
1651.939602634688,17834
1654.9770841061793,17129
1658.010351054962,16323
1661.0394034810363,15627
1664.064241384402,14721
1667.0848647650594,13650
1670.1012736230082,12424
1673.1134679582485,10975
1677.123171147689,9035
1680.1255315966096,7765
1683.1236775228215,6523
1686.117608926325,5515
1689.1073258071199,4739
1692.0928281652064,3872
1695.0741160005844,3261
1698.0511893132539,2863
1701.024048103215,2634
