wavelength,intensity
901.0198689728451,20717
904.9634728266626,22496
908.9028621577714,24447
912.8380369661718,26431
916.7689972518638,28777
922.003721708573,32838
925.9248481079452,36776
929.8417599846088,41113
933.7544573385638,45988
937.6629401698106,50733
941.5672084783487,54746
945.4672622641783,57919
949.3631015272995,60362
953.254726267712,62291
957.1421364854161,64056
961.0253321804119,65797
964.904313352699,67744
968.7790800022777,69941
972.6496321291479,72152
976.5159697333096,74175
980.3780928147628,76419
984.2360013735074,78151
988.0896954095435,80228
993.2213982000453,82684
997.0652583497616,84236
1000.9049039767697,85843
1004.740335081069,87163
1008.5715516626599,88307
1012.3985537215423,89617
1016.2213412577162,90711
1020.0399142711816,91801
1023.8542727619385,92941
1027.664416729987,94105
1031.470346175327,95148
1035.2720610979584,96011
1039.0695614978813,96653
1042.8628473750957,96835
1046.6519187296017,97091
1050.4367755613991,97625
1054.2174178704881,97830
1057.9938456568686,97755
1063.022526781163,98098
1066.7891206812235,98247
1070.5515000585756,98357
1074.3096649132192,98444
1078.0636152451543,98552
1081.8133510543812,98767
1085.5588723408991,99011
1089.300179104709,99500
1093.0372713458103,99823
1096.770149064203,100103
1100.498812259887,100379
1104.223260932863,100672
1107.94349508313,101149
1111.6595147106887,101401
1115.371319815539,101668
1119.0789103976808,101799
1122.7822864571142,101862
1126.4814479938389,100982
1131.4071074519252,98863
1135.0964351023304,96525
1138.7815482300266,93241
1142.4624468350146,89769
1146.139130917294,86646
1149.8116004768651,84154
1153.4798555137277,82135
1157.1438960278815,81062
1160.803722019327,80277
1164.4593334880642,79906
1168.1107304340926,79998
1171.7579128574125,80180
1175.400880758024,80539
1179.039634135927,80876
1182.6741729911216,81359
1186.3044973236076,81913
1189.9306071333854,82789
1193.5525024204544,84005
1198.375140212333,85649
1201.9872016130823,87130
1205.595048491123,88835
1209.1986808464553,90457
1212.798098679079,92335
1216.3933019889944,94270
1219.984290776201,96438
1223.5710650406993,98567
1227.153624782489,100864
1230.7319700015703,103100
1234.306100697943,105168
1237.8760168716074,107071
1241.4417185225632,109045
1245.0032056508105,110874
1248.5604782563494,112542
1252.1135363391795,113996
1255.6623798993014,115228
1260.387615388584,116351
1263.926625062386,117392
1267.4614202134794,117906
1270.9920008418644,118371
1274.518366947541,118489
1278.040518530509,118683
1281.5584555907685,118500
1285.0721781283196,118276
1288.5816861431622,117678
1292.0869796352963,116979
1295.588058604722,115960
1299.0849230514389,114539
1302.5775729754473,113023
1306.0660083767475,111022
1309.5502292553392,108946
1313.0302356112222,106453
1316.5060274443968,103679
1319.977604754863,100692
1324.5998185779379,96438
1328.0615620020842,93027
1331.5190909035218,89542
1334.9724052822512,86190
1338.421505138272,82596
1341.8663904715843,79646
1345.307061282188,76443
1348.7435175700834,73610
1352.1757593352704,70671
1355.6037865777487,68060
1359.0275992975185,65460
1362.4471974945798,62779
1365.8625811689326,59792
1369.2737503205772,56432
1372.6807049495128,52758
1376.0834450557404,48514
1379.481970639259,43783
1382.8762817000695,39178
1387.3954738569369,32578
1390.7799510314273,28045
1394.1602136832093,24456
1397.536261812283,21293
1400.9080954186481,19085
1404.2757145023047,17358
1407.6391190632528,16003
1410.9983091014924,14827
1414.3532846170235,14373
1417.7040456098462,13856
1421.0505920799603,13366
1424.392924027366,13092
1427.731041452063,12857
1431.0649443540517,12455
1434.394632733332,12484
1437.7201065899035,12591
1441.0413659237665,12391
1444.3584107349213,12164
1448.774581225581,11968
1452.0817921504158,12113
1455.3847885525422,11742
1458.68357043196,11727
1461.9781377886695,11941
1465.2684906226702,11763
1468.5546289339627,11927
1471.8365527225467,11794
1475.114261988422,11838
1478.387756731589,11807
1481.6570369520473,11748
1484.9221026497971,11846
1488.1829538248387,11815
1491.4395904771716,11783
1494.692012606796,11966
1497.9402202137119,11967
1501.1842132979193,12174
1504.4239918594183,12210
1508.7371406838704,12322
1511.9670853590496,12507
1515.1928155115202,12797
1518.4143311412822,12905
1521.6316322483358,13063
1524.844718832681,13104
1528.0535908943177,13337
1531.2582484332459,13474
1534.4586914494655,13763
1537.654919942977,13636
1540.8469339137796,13880
1544.0347333618736,14118
1547.2183182872593,14166
1550.3976886899366,14221
1553.5728445699053,14372
1556.7437859271654,14444
1559.9105127617172,14507
1563.0730250735605,14550
1567.283152231805,14598
1570.4358306573283,14619
1573.5842945601432,14761
1576.7285439402497,14718
1579.8685787976476,14824
1583.004399132337,14616
1586.1360049443178,14601
1589.2633962335904,14633
1592.3865730001544,14800
1595.50553524401,14739
1598.6202829651568,14699
1601.7308161635954,14384
1604.8371348393252,14444
1607.9392389923466,14313
1611.0371286226598,13949
1614.1308037302642,13923
1617.2202643151602,13713
1621.3329891708083,13540
1624.4126158693846,13450
1627.4880280452523,13272
1630.5592256984114,12859
1633.6262088288622,12949
1636.6889774366043,12638
1639.7475315216382,12393
1642.8018710839633,12091
1645.8519961235802,11967
1648.8979066404884,11595
1651.939602634688,11159
1654.9770841061793,10668
1658.010351054962,10241
1661.0394034810363,9904
1664.064241384402,9273
1667.0848647650594,8782
1670.1012736230082,8020
1673.1134679582485,7121
1677.123171147689,5892
1680.1255315966096,5202
1683.1236775228215,4276
1686.117608926325,3537
1689.1073258071199,3058
1692.0928281652064,2511
1695.0741160005844,2138
1698.0511893132539,1948
1701.024048103215,1714
