wavelength,value
901.0198689728451,22175
904.9634728266626,24228
908.9028621577714,26233
912.8380369661718,28505
916.7689972518638,30957
922.003721708573,35299
925.9248481079452,39425
929.8417599846088,44249
933.7544573385638,49351
937.6629401698106,54489
941.5672084783487,58891
945.4672622641783,62122
949.3631015272995,64952
953.254726267712,67093
957.1421364854161,68980
961.0253321804119,70855
964.904313352699,73171
968.7790800022777,75501
972.6496321291479,77814
976.5159697333096,80085
980.3780928147628,82466
984.2360013735074,84324
988.0896954095435,86615
993.2213982000453,89165
997.0652583497616,90917
1000.9049039767697,92482
1004.740335081069,93873
1008.5715516626599,95219
1012.3985537215423,96647
1016.2213412577162,97628
1020.0399142711816,98773
1023.8542727619385,100087
1027.664416729987,101409
1031.470346175327,102522
1035.2720610979584,103273
1039.0695614978813,104058
1042.8628473750957,104433
1046.6519187296017,104698
1050.4367755613991,105064
1054.2174178704881,105325
1057.9938456568686,105439
1063.022526781163,105485
1066.7891206812235,105775
1070.5515000585756,105929
1074.3096649132192,106024
1078.0636152451543,106096
1081.8133510543812,106377
1085.5588723408991,106897
1089.300179104709,107375
1093.0372713458103,107605
1096.770149064203,108052
1100.498812259887,108402
1104.223260932863,108852
1107.94349508313,109204
1111.6595147106887,109703
1115.371319815539,109922
1119.0789103976808,110126
1122.7822864571142,110252
1126.4814479938389,109597
1131.4071074519252,107496
1135.0964351023304,105128
1138.7815482300266,101862
1142.4624468350146,98436
1146.139130917294,95346
1149.8116004768651,93033
1153.4798555137277,90980
1157.1438960278815,89806
1160.803722019327,89144
1164.4593334880642,89085
1168.1107304340926,89357
1171.7579128574125,89614
1175.400880758024,90050
1179.039634135927,90494
1182.6741729911216,91034
1186.3044973236076,91638
1189.9306071333854,92749
1193.5525024204544,94208
1198.375140212333,96117
1201.9872016130823,97579
1205.595048491123,99483
1209.1986808464553,101291
1212.798098679079,103262
1216.3933019889944,105509
1219.984290776201,107876
1223.5710650406993,110130
1227.153624782489,112321
1230.7319700015703,114869
1234.306100697943,117015
1237.8760168716074,118974
1241.4417185225632,121165
1245.0032056508105,123177
1248.5604782563494,124821
1252.1135363391795,126592
1255.6623798993014,127992
1260.387615388584,129334
1263.926625062386,130287
1267.4614202134794,131026
1270.9920008418644,131496
1274.518366947541,131668
1278.040518530509,131871
1281.5584555907685,131824
1285.0721781283196,131538
1288.5816861431622,131078
1292.0869796352963,130391
1295.588058604722,129311
1299.0849230514389,127860
1302.5775729754473,126320
1306.0660083767475,124412
1309.5502292553392,122065
1313.0302356112222,119693
1316.5060274443968,116830
1319.977604754863,113713
1324.5998185779379,109278
1328.0615620020842,105791
1331.5190909035218,102207
1334.9724052822512,98737
1338.421505138272,95072
1341.8663904715843,91815
1345.307061282188,88447
1348.7435175700834,85627
1352.1757593352704,82488
1355.6037865777487,79640
1359.0275992975185,77133
1362.4471974945798,74076
1365.8625811689326,71090
1369.2737503205772,67510
1372.6807049495128,63621
1376.0834450557404,59048
1379.481970639259,54282
1382.8762817000695,49042
1387.3954738569369,42187
1390.7799510314273,37359
1394.1602136832093,33412
1397.536261812283,30088
1400.9080954186481,27445
1404.2757145023047,25637
1407.6391190632528,24068
1410.9983091014924,22931
1414.3532846170235,22389
1417.7040456098462,21739
1421.0505920799603,21211
1424.392924027366,20933
1427.731041452063,20517
1431.0649443540517,20216
1434.394632733332,20340
1437.7201065899035,20077
1441.0413659237665,19943
1444.3584107349213,19946
1448.774581225581,19701
1452.0817921504158,19775
1455.3847885525422,19349
1458.68357043196,19332
1461.9781377886695,19307
1465.2684906226702,19294
1468.5546289339627,19288
1471.8365527225467,19314
1475.114261988422,19313
1478.387756731589,19044
1481.6570369520473,19172
1484.9221026497971,19236
1488.1829538248387,19237
1491.4395904771716,19003
1494.692012606796,19184
1497.9402202137119,19236
1501.1842132979193,19372
1504.4239918594183,19397
1508.7371406838704,19393
1511.9670853590496,19620
1515.1928155115202,19700
1518.4143311412822,19869
1521.6316322483358,19985
1524.844718832681,19981
1528.0535908943177,20180
1531.2582484332459,20224
1534.4586914494655,20149
1537.654919942977,20289
1540.8469339137796,20404
1544.0347333618736,20635
1547.2183182872593,20618
1550.3976886899366,20509
1553.5728445699053,20624
1556.7437859271654,20594
1559.9105127617172,20582
1563.0730250735605,20532
1567.283152231805,20601
1570.4358306573283,20462
1573.5842945601432,20412
1576.7285439402497,20363
1579.8685787976476,20422
1583.004399132337,20119
1586.1360049443178,19912
1589.2633962335904,19880
1592.3865730001544,19750
1595.50553524401,19712
1598.6202829651568,19584
1601.7308161635954,19206
1604.8371348393252,19072
1607.9392389923466,18915
1611.0371286226598,18453
1614.1308037302642,18304
1617.2202643151602,18045
1621.3329891708083,17598
1624.4126158693846,17500
1627.4880280452523,17159
1630.5592256984114,16716
1633.6262088288622,16599
1636.6889774366043,16124
1639.7475315216382,15875
1642.8018710839633,15633
1645.8519961235802,15186
1648.8979066404884,14638
1651.939602634688,14304
1654.9770841061793,13774
1658.010351054962,13038
1661.0394034810363,12535
1664.064241384402,11867
1667.0848647650594,11042
1670.1012736230082,10179
1673.1134679582485,9101
1677.123171147689,7713
1680.1255315966096,6621
1683.1236775228215,5568
1686.117608926325,4660
1689.1073258071199,3896
1692.0928281652064,3295
1695.0741160005844,2663
1698.0511893132539,2487
1701.024048103215,2104
